collctions,collctions-href,details,details-href,image1-src,image2-src,finshihoptions-src,description1,description2,technical,productcodes
"Cabinet Knobs","http://emtek.com/cabinet-knobs","","http://emtek.com/Cabinet-Knobs/brass-ring-knob","","http://emtek.com/products/cabinet_knobs/CK_43_Brass_Ring_CabinetKnob_US15.jpg","","","","",""
"Door Pulls","http://emtek.com/door-pulls","","http://emtek.com/Door-Pulls/ss-zeus","","","","","","Supplied with:  
- Both 1/4""-20 Screws and #10-32 Screws
- Adapter for #10-32 Thread 
- 2 Threaded Washers 
- 2 Decorative Caps 
- Two 2"" #10-32 Machine Screws",""
"Bath Hardware","http://emtek.com/bath-hardware","","http://emtek.com/Bath-Hardware/modern-brass-towel-ring","","","","","","Technical Specification",""
"Cabinet Pulls","http://emtek.com/cabinet-pulls","","http://emtek.com/Cabinet-Pulls/brass-arch-pull","","","http://emtek.com/finishes/US19_Finish.jpg","","","",""
"Passage / Privacy Knobs","http://emtek.com/passage-privacy-knobs","","http://emtek.com/Passage-Privacy-Knobs/orb-knob","","","http://emtek.com/rosettes/RO_09_Brass_Disk_US10B.jpg","","","",""
"Multi Point Lock Trim","http://emtek.com/multi-point-lock-trim","","http://emtek.com/Multi-Point-Lock-Trim/modern-style-11-keyed-euro","","","http://emtek.com/levers/LV_46_Poseidon_US10B.jpg","","","",""
"Passage / Privacy Knobs","http://emtek.com/passage-privacy-knobs","","http://emtek.com/Passage-Privacy-Knobs/hampton-crystal-knob","","","","","","Technical Specifications",""
"Passage / Privacy Levers","http://emtek.com/passage-privacy-levers","","http://emtek.com/Passage-Privacy-Levers/brass-hermes-lever","","","","","","","Disk Rosette Style:
 Passage Set - 5109
 Privacy Set - 5209
 Dummy, Pair - 5059"
"Sideplate Locks","http://emtek.com/sideplate-locks","","http://emtek.com/Sideplate-Locks/11-stainless-steel-stretto-keyed","http://emtek.com/products/sideplates/SP_68_11_Stretto_SS_Entry.jpg","","","","","",""
"Bath Hardware","http://emtek.com/bath-hardware","","http://emtek.com/Bath-Hardware/modern-brass-paper-holder-bar-style","http://emtek.com/products/bath_hardware/BH_53_Modern_PaperHolder_Bar_RoseSmallDisc_US26.jpg","","","","","",""
"Passage / Privacy Levers","http://emtek.com/passage-privacy-levers","","http://emtek.com/Passage-Privacy-Levers/geneva-lever","","","","","","","Square Rosette Style:
 Passage Set - 5110
 Privacy Set - 5210
 Dummy, Pair - 5050"
"Sideplate Locks","http://emtek.com/sideplate-locks","","http://emtek.com/Sideplate-Locks/10-stainless-steel-stretto-keyed","","","http://emtek.com/knobs/KB_42_SSRound.jpg","","","",""
"Cabinet Knobs","http://emtek.com/cabinet-knobs","","http://emtek.com/Cabinet-Knobs/brass-globe-knob","","http://emtek.com/products/cabinet_knobs/CK_26_Globe_CabinetKnob_US15.jpg","","","","",""
"Passage / Privacy Levers","http://emtek.com/passage-privacy-levers","","http://emtek.com/Passage-Privacy-Levers/brass-hermes-lever","","","http://emtek.com/rosettes/RO_13_Brass_Neos_US15.jpg","","","",""
"Passage / Privacy Knobs","http://emtek.com/passage-privacy-knobs","","http://emtek.com/Passage-Privacy-Knobs/modern-disc-crystal","","","","","","","Square Rosette Style: 
Passage Set - 5110 
Privacy Set - 5210 
Dummy, Pair - 5050"
"Hinges","http://emtek.com/door-hinges","","http://emtek.com/Door-Hinges/residential-plain-312-14r-ss-hinge","","http://emtek.com/products/door_hinges/SS_Hinge_312_14Radius.jpg","","","","",""
"Multi Point Lock Trim","http://emtek.com/multi-point-lock-trim","","http://emtek.com/Multi-Point-Lock-Trim/modern-style-11-keyed-418","","","http://emtek.com/finishes/US15_Finish.jpg","","","",""
